REPORTE DE LIBROS

CODIGO              TITULO                                                       AUTOR
GOG7446   El guardian entre el centeno                                J. D. Salinger                55
QYH7021   Historia del siglo XX: 1914-1991                            Eric Hobsbawm                 1
KCI5219   El Maestro y Margarita                                      Mijail Bulgakov               21
FMX8255   Las aventuras de Huckleberry Finn                           Mark Twain                    52
ZQY9966   El suenio del tio                                           Fiodor Dostoyevski            27
DXP8640   El retrato de Dorian Gray                                   Oscar Wilde                   62
LRV5687   La guerra del fin del mundo                                 Mario Vargas Llosa            62
EBT7258   Linea de fuego                                              Arturo Perez-Reverte          2
ELC8965   Las aventuras de Rocambole                                  Ponson Du Terrail             37
ULM8751   La sumisa                                                   Fiodor Dostoyevski            7
PGK5617   El Rey Lear                                                 William Shakespeare           36
QFG6515   El libro de la selva                                        Rudyard Kipling               60
QVX9089   Madame Bovary                                               Gustave Flaubert              27
QMI4747   La isla de los amores infinitos                             Daina Chaviano                24
SMW0186   La sombra del viento                                        Carlos Ruiz Zafon             62
HSE3213   Por quien doblan las campanas                               Hernest Hemingway             18
RZX8790   El senior de las moscas                                     William Golding               18
XMT1768   Los diarios de Adan y Eva                                   Mark Twain                    21
HGN9910   La ciudad y los perros                                      Mario Vargas Llosa            59
JNC0786   Mi isla                                                     Elisabet Benavent             45
HHR5161   El francotirador paciente                                   Arturo Perez-Reverte          21
FNM6936   Divina comedia                                              Dante Alighieri               48
HVZ1228   El húsar                                                    Arturo Perez-Reverte          42
MKB4184   Napoleon                                                    Alejandro Dumas               65
KBF4088   Harry Potter y el prisionero de Azkaban (Harry Potter 3)    J.K. Rowling                  23
ZQD4253   Harry Potter y el misterio del principe ( Harry Potter 6)   J. K. Rowling                 62
PHL4155   El idiota                                                   Fiodor Dostoyevski            19
EYV0597   Cuentos de la selva                                         Horacio Quiroga               2
AKU9740   Conversacion en La Catedral                                 Mario Vargas Llosa            29
ACM9578   Amadis de gaula                                             Garci Rodriguez Montalvo      33
OCI8959   David Copperfield                                           Charles Dickens               62
EJE8138   Yawar fiesta                                                Jose Maria Arguedas           14
WHU1288   La hija italiana                                            Soraya Lane                   13
ICU6090   La fiesta del chivo                                         Mario Vargas Llosa            13
BUC5125   El faro de Stalingrado                                      Iain MacGregor                25
BUY4915   La sombra del aguila                                        Arturo Perez-Reverte          21
USK1312   Un mundo sin fin                                            Ken Follett                   50
VFO4193   La catedral del mar                                         Ildefonso Falcones            20
OWO8918   Origen                                                      Dan Brown                     60
YZV6954   Corazon de las tinieblas                                    Joseph Conrad                 26
CLG5566   Pantaleon y las visitadoras                                 Mario Vargas Llosa            0
IUI3314   El coronel no tiene quien le escriba                        Gabriel Garcia Marquez        30
EFD3949   La divina comedia                                           Dante Alighieri               26
FVV9246   Matar a un ruisenior                                        Harper Lee                    54
SPM4763   Eva                                                         Arturo Perez-Reverte          16
BHD6079   Zorba el griego                                             Nikos Kazantzakis             9
RYI5447   El corazon es un cazador solitario                          Carson Mccullers              13
BUB3833   Otelo                                                       William Shakespeare           11
EUO8195   El jardin del Eden                                          Hernest Hemingway             11
KSX7995   El simbolo perdidoi                                         Dan Brown                     4
MTZ2227   Hamlet                                                      William Shakespeare           42
JSM8271   La Odisea                                                   Homero                        50
KVL6246   La edad media - barbaros - cristianos y musulmanes          Umberto Eco                   17
QMJ4188   Emma                                                        Jane Austen                   20
QKH2262   Fiesta                                                      Hernest Hemingway             20
HXB2949   El medico                                                   Noah Gordon                   32
OBH4691   Crimen y castigo                                            Fiodor Dostoyevski            61
IPE3429   Sidi                                                        Arturo Perez-Reverte          48
ILA4795   La ladrona de libros                                        Markus ZusaK                  38
EFQ0297   Trampa 22                                                   Joseph Heller                 31
BRG4234   La telarania de Carlota                                     E. B. White                   15
EZP0333   La Reina del Sur                                            Arturo Perez-Reverte          58
MBB0685   El capitan Alatriste                                        Arturo Perez-Reverte          24
CST1133   Inferno                                                     Dan Brown                     7
RNG2321   El Aleph                                                    Jorge Luis Borges             34
RSK1164   El amor en los tiempos del colera                           Gabriel Garcia Marquez        20
WYS2674   Secuestrado                                                 Robert Louis Stevenson        54
CRR5443   Un mundo feliz                                              Aldous Huxley                 26
JEN0751   Ana Karenina                                                Leon Tolstoi                  49
IGT8523   Una columna de fuego                                        Ken Follett                   20
FYV9055   Macbeth                                                     William Shakespeare           38
LGB2311   Decameron                                                   Giovanni Boccaccio            7
MEH2993   Hijos de un tiempo perdido                                  Jose Maria Bermúdez de Castro 4
CJN4376   Harry Potter y la camara secreta (Harry Potter 2)           J. K. Rowling                 5
ION3794   Crepúsculo                                                  Stephenie Meyer               46
HDA2333   Lituma en los Andes                                         Mario Vargas Llosa            51
CKR6798   El lobo estepario                                           Hermann Hesse                 47
GDA4236   Gente normal                                                Sally Rooney                  61
BAP2859   El túnel                                                    Ernesto Sabato                5
EHX6253   La isla de las tormentas                                    Ken Follett                   6
OUU5470   La carta esferica                                           Arturo Perez-Reverte          25
PQB0775   El diablo de la botella y otros cuentos                     Robert Louis Stevenson        27
DEF7625   Las uvas de la ira                                          John SteinbecK                19
UDS2730   Los Nibelungos                                              Anonimo                       21
DTH6788   Los perros duros no bailan                                  Arturo Perez-Reverte          20
KLV1872   Orgullo y prejuicio                                         Jane Austen                   52
BUT4998   Lolita                                                      Vladimir Nabokov              27
XBC5847   Tiempos recios                                              Mario Vargas Llosa            32
AZL1098   El extranjero                                               Albert Camus                  65
BZY0235   Fausto                                                      Johann Wolfgang Von Goethe    15
QQQ4712   Nuestra Seniora de Paris                                    Victor Hugo                   57
BTX3816   El jugador                                                  Fiodor Dostoyevski            50
MLC7198   Los rios profundos                                          Jose Maria Arguedas           5
JZU0977   El alquimista                                               Paulo Coelho                  61
AGQ7769   La Flecha Negra                                             Robert Louis Stevenson        49
BXE0974   Los viajes de Gulliver                                      Jonathan Swift                60
UFK9792   El psicoanalista                                            John Katzenbach               39
XRL3393   Le dedico mi silencio                                       Mario Vargas Llosa            45
GUN8655   Angeles y demoniosi                                         Dan Brown                     51
NGQ6935   La casa de los espiritus                                    Isabel Allende                57
PWB4941   La montania magica                                          Thomas Mann                   63
NEW1762   Territorio comanche                                         Arturo Perez-Reverte          18
QHZ8547   Adios a las armas                                           Hernest Hemingway             49
PCS8992   Y no quedo ninguno                                          Agatha Christie               29
VFI8064   A sangre fria                                               Truman Capote                 21
XTM9385   El mundo                                                    Simon Sebag Montefiore        62
VDL9379   Los juegos del hambre                                       Suzanne Collins               31
IFL0150   Romeo y Julieta                                             William Shakespeare           60
JZQ8143   Suenios de robot                                            Isaac Asimov                  28
SXT1015   Mientras agonizo                                            William Faulkner              1
KGO1734   Una historia del mundo                                      Andrew Marr                   8
SMI7078   Los cachorros                                               Mario Vargas Llosa            25
RAO4129   Stalingrado                                                 Jonathan Trigg                17
VYG3594   Los demonios                                                Fiodor Dostoyevski            1
HLC2748   El senior de los anillos (Trilogia)                         J.R.R.Tolkien                 30
GJM4671   Origenes                                                    Lewis Dartnell                36
VYK6352   Armas germenes y acero                                      Jared Diamond                 34
VSG3432   Bajo bandera negra                                          David Cordingly               4
OQK1590   Cometas en el cielo                                         Khaled Hosseini               3
JXC1015   Robinson Crusoe                                             Daniel Defoe                  58
TAB4639   El color que cayo del cielo                                 H. P. Lovecraft               41
YXF2137   En agosto nos vemos                                         Gabriel Garcia Marquez        35
SIR3963   Memorias de una geisha                                      Arthur Golden                 34
ALH8812   Guerra y Paz                                                Leon Tolstoi                  48
UCA0857   SPQR: una historia de la antigua Roma                       Mary Beard                    9
KLO8691   Catedral                                                    Raymond Carver                25
HPM0950   Fahrenheit 451                                              Ray Bradbury                  41
JOF6762   Ojos azules                                                 Arturo Perez-Reverte          43
DEK2757   En llamas                                                   Suzanne Collins               0
RRE8138   Trilogia de la Fundacion                                    Isaac Asimov                  44
JKE9650   La metamorfosis                                             Franz Kafka                   44
BZX4462   Culpa mia                                                   Mercedes Ron                  37
NFP3266   Sabotaje                                                    Arturo Perez-Reverte          1
